Gen 1:1
μου RP--GS---- ἐγώ
μετὰ P--------- μετά
τὸ RA--ASN--- ὁ
γηρᾶσαι VA--AAN--- γηράω
αὐτόν RD--ASM--- αὐτός
καὶ C--------- καί
ἔδωκεν VAI-AAI3S- δίδωμι
αὐτῷ RD--DSM--- αὐτός
ὅσα A1--NPN--- ὅσος
ἦν V9--IAI3S- εἰμί
αὐτῷ RD--DSM--- αὐτός

Gen 24:37
καὶ C--------- καί
ὥρκισέν VAI-AAI3S- ὁρκίζω
με RP--AS---- ἐγώ
ὁ RA--NSM--- ὁ
κύριός N2--NSM--- κύριος
μου RP--GS---- ἐγώ
λέγων V1--PAPNSM λέγω
οὐ D--------- οὐ
λήμψῃ VF--FMI2S- λαμβάνω
γυναῖκα N3K-ASF--- γυνή
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
μου RP--GS---- ἐγώ
ἀπὸ P--------- ἀπό
τῶν RA--GPF--- ὁ
θυγατέρων N3--GPF--- θυγάτηρ
τῶν RA--GPM--- ὁ
Χαναναίων N2--GPM--- Χαναναῖος
ἐν P--------- ἐν
οἷς RR--DPM--- ὅς
ἐγὼ RP--NS---- ἐγώ
παροικῶ V2--PAI1S- οἰκέω παρα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
αὐτῶν RD--GPM--- αὐτός

Gen 24:38
ἀλλ' C--------- ἀλλά
ἢ C--------- ἤ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ
πορεύσῃ VA--AAS3S- πορεύομαι
καὶ C--------- καί
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
φυλήν N1--ASF--- φυλή
μου RP--GS---- ἐγώ
καὶ C--------- καί
λήμψῃ VF--FMI2S- λαμβάνω
γυναῖκα N3K-ASF--- γυνή
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
μου RP--GS---- ἐγώ
ἐκεῖθεν D--------- ἐκεῖθεν

Gen 24:39
εἶπα VAI-AAI1S- εἶπον
δὲ X--------- δέ
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
μου RP--GS---- ἐγώ
μήποτε D--------- μήποτε
οὐ D--------- οὐ
πορεύσεται VF--FMI3S- πορεύομαι
ἡ RA--NSF--- ὁ
γυνὴ N3K-NSF--- γυνή
μετ' P--------- μετά
ἐμοῦ RP--GS---- ἐγώ

Gen 24:40
καὶ C--------- καί
εἶπέν VBI-AAI3S- εἶπον
μοι RP--DS---- ἐγώ
κύριος N2--NSM--- κύριος
ᾧ RR--DSM--- ὅς
εὐηρέστησα VAI-AAI1S- εὐαρεστέω
ἐναντίον P--------- ἐναντίον
αὐτοῦ RD--GSM--- αὐτός
αὐτὸς RD--NSM--- αὐτός
ἀποστελεῖ VF2-FAI3S- στέλλω ἀπο
τὸν RA--ASM--- ὁ
ἄγγελον N2--ASM--- ἄγγελος
αὐτοῦ RD--GSM--- αὐτός
μετὰ P--------- μετά
σοῦ RP--GS---- σύ
καὶ C--------- καί
εὐοδώσει VF--FAI3S- εὐοδόω
τὴν RA--ASF--- ὁ
ὁδόν N2--ASF--- ὁδός
σου RP--GS---- σύ
καὶ C--------- καί
λήμψῃ VF--FMI2S- λαμβάνω
γυναῖκα N3K-ASF--- γυνή
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
μου RP--GS---- ἐγώ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
φυλῆς N1--GSF--- φυλή
μου RP--GS---- ἐγώ
καὶ C--------- καί
ἐκ P--------- ἐκ
τοῦ RA--GSM--- ὁ
οἴκου N2--GSM--- οἶκος
τοῦ RA--GSM--- ὁ
πατρός N3--GSM--- πατήρ
μου RP--GS---- ἐγώ

Gen 24:41
τότε D--------- τότε
ἀθῷος A1--NSM--- ἀθῷος
ἔσῃ VF--FMI2S- εἰμί
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ἀρᾶς N1A-GSF--- ἀρά
μου RP--GS---- ἐγώ
ἡνίκα D--------- ἡνίκα
γὰρ X--------- γάρ
ἐὰν C--------- ἐάν
ἔλθῃς VX--XAS2S- ἔρχομαι
εἰς P--------- εἰς
τὴν RA--ASF--- ὁ
ἐμὴν A1--ASF--- ἐμός
φυλὴν N1--ASF--- φυλή
καὶ C--------- καί
μή D--------- μή
σοι RP--DS---- σύ
δῶσιν VO--AAS3P- δίδωμι
καὶ C--------- καί
ἔσῃ VF--FMI2S- εἰμί
ἀθῷος A1--NSM--- ἀθῷος
ἀπὸ P--------- ἀπό
τοῦ RA--GSM--- ὁ
ὁρκισμοῦ N2--GSM--- ὁρκισμός
μου RP--GS---- ἐγώ

Gen 24:42
καὶ C--------- καί
ἐλθὼν VB--AAPNSM ἔρχομαι
σήμερον D--------- σήμερον
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πηγὴν N1--ASF--- πηγή
εἶπα VAI-AAI1S- εἶπον
κύριε N2--VSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
μου RP--GS---- ἐγώ
Αβρααμ N---GSM--- Αβρααμ
εἰ C--------- εἰ
σὺ RP--NS---- σύ
εὐοδοῖς V4--PAI2S- εὐοδόω
τὴν RA--ASF--- ὁ
ὁδόν N2--ASF--- ὁδός
μου RP--GS---- ἐγώ
ἣν RR--ASF--- ὅς
νῦν D--------- νῦν
ἐγὼ RP--NS---- ἐγώ
πορεύομαι V1--PMI1S- πορεύομαι
ἐπ' P--------- ἐπί
αὐτήν RD--ASF--- αὐτός

Gen 24:43
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ἐφέστηκα VXI-XAI1S- ἵστημι ἐπι
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
πηγῆς N1--GSF--- πηγή
τοῦ RA--GSN--- ὁ
ὕδατος N3T-GSN--- ὕδωρ
καὶ C--------- καί
αἱ RA--NPF--- ὁ
θυγατέρες N3--NPF--- θυγάτηρ
τῶν RA--GPM--- ὁ
ἀνθρώπων N2--GPM--- ἄνθρωπος
τῆς RA--GSF--- ὁ
πόλεως N3I-GSF--- πόλις
ἐξελεύσονται VF--FMI3P- ἔρχομαι ἐκ
ὑδρεύσασθαι VA--AMN--- ὑδρεύω
ὕδωρ N3--ASN--- ὕδωρ
καὶ C--------- καί
ἔσται VF--FMI3S- εἰμί
ἡ RA--NSF--- ὁ
παρθένος N2--NSF--- παρθένος
ᾗ RR--DSF--- ὅς
ἂν X--------- ἄν
ἐγὼ RP--NS---- ἐγώ
εἴπω VBI-AAS1S- εἶπον
πότισόν VA--AAD2S- ποτίζω
με RP--AS---- ἐγώ
μικρὸν A1A-ASN--- μικρός
ὕδωρ N3--ASN--- ὕδωρ
ἐκ P--------- ἐκ
τῆς RA--GSF--- ὁ
ὑδρίας N1A-GSF--- ὑδρία
σου RP--GS---- σύ

Gen 24:44
καὶ C--------- καί
εἴπῃ VBI-AAS3S- εἶπον
μοι RP--DS---- ἐγώ
καὶ C--------- καί
σὺ RP--NS---- σύ
πίε VB--AAD2S- πίνω
καὶ C--------- καί
ταῖς RA--DPF--- ὁ
καμήλοις N2--DPF--- κάμηλος
σου RP--GS---- σύ
ὑδρεύσομαι VF--FMI1S- ὑδρεύω
αὕτη RD--NSF--- οὗτος
ἡ RA--NSF--- ὁ
γυνή N3K-NSF--- γυνή
ἣν RR--ASF--- ὅς
ἡτοίμασεν VAI-AAI3S- ἑτοιμάζω
κύριος N2--NSM--- κύριος
τῷ RA--DSM--- ὁ
ἑαυτοῦ RD--GSM--- ἑαυτοῦ
θεράποντι N3--DSM--- θεράπων
Ισαακ N---DSM--- Ισαακ
καὶ C--------- καί
ἐν P--------- ἐν
τούτῳ RD--DSM--- οὗτος
γνώσομαι VF--FMI1S- γιγνώσκω
ὅτι C--------- ὅτι
πεποίηκας VX--XAI2S- ποιέω
ἔλεος N3E-ASN--- ἔλεος
τῷ RA--DSM--- ὁ
κυρίῳ N2--DSM--- κύριος
μου RP--GS---- ἐγώ
Αβρααμ N---GSM--- Αβρααμ

Gen 24:45
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
πρὸ P--------- πρό
τοῦ RA--GSN--- ὁ
συντελέσαι VA--AAN--- τελέω συν
με RP--AS---- ἐγώ
λαλοῦντα V2--PAPASM λαλέω
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
διανοίᾳ N1A-DSF--- διάνοια
εὐθὺς D--------- εὐθύς
Ρεβεκκα N---NSF--- Ρεβεκκα
ἐξεπορεύετο V1I-IMI3S- πορεύομαι ἐκ
ἔχουσα V1--PAPNSF ἔχω
τὴν RA--ASF--- ὁ
ὑδρίαν N1A-ASF--- ὑδρία
ἐπὶ P--------- ἐπί
τῶν RA--GPM--- ὁ
ὤμων N2--GPM--- ὦμος
καὶ C--------- καί
κατέβη VZI-AAI3S- βαίνω κατα
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
πηγὴν N1--ASF--- πηγή
καὶ C--------- καί
ὑδρεύσατο VAI-AMI3S- ὑδρεύω
εἶπα VAI-AAI1S- εἶπον
δὲ X--------- δέ
αὐτῇ RD--DSF--- αὐτός
πότισόν VA--AAD2S- ποτίζω
με RP--AS---- ἐγώ

Gen 24:46
καὶ C--------- καί
σπεύσασα VA--AAPNSF σπεύδω
καθεῖλεν VAI-AAI3S- αἱρέω κατα
τὴν RA--ASF--- ὁ
ὑδρίαν N1A-ASF--- ὑδρία
αὐτῆς RD--GSF--- αὐτός
ἀφ' P--------- ἀπό
ἑαυτῆς RD--GSF--- ἑαυτοῦ
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
πίε VB--AAD2S- πίνω
σύ RP--NS---- σύ
καὶ C--------- καί
τὰς RA--APF--- ὁ
καμήλους N2--APF--- κάμηλος
σου RP--GS---- σύ
ποτιῶ VF--FAI1S- ποτίζω
καὶ C--------- καί
ἔπιον VBI-AAI1S- πίνω
καὶ C--------- καί
τὰς RA--APF--- ὁ
καμήλους N2--APF--- κάμηλος
μου RP--GS---- ἐγώ
ἐπότισεν VAI-AAI3S- ποτίζω

Gen 24:47
καὶ C--------- καί
ἠρώτησα VAI-AAI1S- ἐρωτάω
αὐτὴν RD--ASF--- αὐτός
καὶ C--------- καί
εἶπα VAI-AAI1S- εἶπον
τίνος RI--GSM--- τίς
εἶ V9--PAI2S- εἰμί
θυγάτηρ N3--NSF--- θυγάτηρ
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
ἔφη V6I-IAI3S- φημί
θυγάτηρ N3--NSF--- θυγάτηρ
Βαθουηλ N---GSM--- Βαθουηλ
εἰμὶ V9--PAI1S- εἰμί
τοῦ RA--GSM--- ὁ
υἱοῦ N2--GSM--- υἱός
Ναχωρ N---GSM--- Ναχωρ
ὃν RR--ASM--- ὅς
ἔτεκεν VBI-AAI3S- τίκτω
αὐτῷ RD--DSM--- αὐτός
Μελχα N---NSF--- Μελχα
καὶ C--------- καί
περιέθηκα VAI-AAI1S- τίθημι περι
αὐτῇ RD--DSF--- αὐτός
τὰ RA--APN--- ὁ
ἐνώτια N2N-APN--- ἐνώτιον
καὶ C--------- καί
τὰ RA--APN--- ὁ
ψέλια N2N-APN--- ψέλιον
περὶ P--------- περί
τὰς RA--APF--- ὁ
χεῖρας N3--APF--- χείρ
αὐτῆς RD--GSF--- αὐτός

Gen 24:48
καὶ C--------- καί
εὐδοκήσας VA--AAPNSM εὐδοκέω
προσεκύνησα VAI-AAI1S- κυνέω προς
κυρίῳ N2--DSM--- κύριος
καὶ C--------- καί
εὐλόγησα VA--AAI1S- εὐλογέω
κύριον N2--ASM--- κύριος
τὸν RA--ASM--- ὁ
θεὸν N2--ASM--- θεός
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
μου RP--GS---- ἐγώ
Αβρααμ N---GSM--- Αβρααμ
ὃς RR--NSM--- ὅς
εὐόδωσέν VA--AAI3S- εὐοδόω
μοι RP--DS---- ἐγώ
ἐν P--------- ἐν
ὁδῷ N2--DSF--- ὁδός
ἀληθείας N1A-GSF--- ἀλήθεια
λαβεῖν VB--AAN--- λαμβάνω
τὴν RA--ASF--- ὁ
θυγατέρα N3--ASF--- θυγάτηρ
τοῦ RA--GSM--- ὁ
ἀδελφοῦ N2--GSM--- ἀδελφός
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
μου RP--GS---- ἐγώ
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
αὐτοῦ RD--GSM--- αὐτός

Gen 24:49
εἰ C--------- εἰ
οὖν X--------- οὖν
ποιεῖτε V2--PAI2P- ποιέω
ὑμεῖς RP--NP---- σύ
ἔλεος N3E-ASN--- ἔλεος
καὶ C--------- καί
δικαιοσύνην N1--ASF--- δικαιοσύνη
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
κύριόν N2--ASM--- κύριος
μου RP--GS---- ἐγώ
ἀπαγγείλατέ VA--AAD2P- ἀγγέλλω ἀπο
μοι RP--DS---- ἐγώ
εἰ C--------- εἰ
δὲ X--------- δέ
μή D--------- μή
ἀπαγγείλατέ VA--AAD2P- ἀγγέλλω ἀπο
μοι RP--DS---- ἐγώ
ἵνα C--------- ἵνα
ἐπιστρέψω VA--AAS1S- στρέφω ἐπι
εἰς P--------- εἰς
δεξιὰν A1A-ASF--- δεξιός
ἢ C--------- ἤ
εἰς P--------- εἰς
ἀριστεράν A1A-ASF--- ἀριστερός

Gen 24:50
ἀποκριθεὶς VC--APPNSM κρίνω ἀπο
δὲ X--------- δέ
Λαβαν N---NSM--- Λαβαν
καὶ C--------- καί
Βαθουηλ N---NSM--- Βαθουηλ
εἶπαν VAI-AAI3P- εἶπον
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
τὸ RA--NSN--- ὁ
πρόσταγμα N3M-NSN--- πρόσταγμα
τοῦτο RD--NSN--- οὗτος
οὐ D--------- οὐ
δυνησόμεθα VF--FMI1P- δύναμαι
οὖν X--------- οὖν
σοι RP--DS---- σύ
ἀντειπεῖν VBI-AAN--- εἶπον ἀντι
κακὸν A1--ASM--- κακός
καλῷ A1--DSM--- καλός

Gen 24:51
ἰδοὺ I--------- ἰδού
Ρεβεκκα N---NSF--- Ρεβεκκα
ἐνώπιόν P--------- ἐνώπιον
σου RP--GS---- σύ
λαβὼν VB--AAPNSM λαμβάνω
ἀπότρεχε V1--PAD2S- τρέχω ἀπο
καὶ C--------- καί
ἔστω V9--PAD3S- εἰμί
γυνὴ N3K-NSF--- γυνή
τῷ RA--DSM--- ὁ
υἱῷ N2--DSM--- υἱός
τοῦ RA--GSM--- ὁ
κυρίου N2--GSM--- κύριος
σου RP--GS---- σύ
καθὰ D--------- καθά
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος

Gen 24:52
ἐγένετο VBI-AMI3S- γίγνομαι
δὲ X--------- δέ
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
ἀκοῦσαι VA--AAN--- ἀκούω
τὸν RA--ASM--- ὁ
παῖδα N3D-ASM--- παῖς
τὸν RA--ASM--- ὁ
Αβρααμ N---GSM--- Αβρααμ
τῶν RA--GPN--- ὁ
ῤημάτων N3M-GPN--- ῤῆμα
τούτων RD--GPM--- οὗτος
προσεκύνησεν VAI-AAI3S- κυνέω προς
ἐπὶ P--------- ἐπί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
κυρίῳ N2--DSM--- κύριος

Gen 24:53
καὶ C--------- καί
ἐξενέγκας VA--AAPNSM φέρω ἐκ
ὁ RA--NSM--- ὁ
παῖς N3D-NSM--- παῖς
σκεύη N3E-APN--- σκεῦος
ἀργυρᾶ A1C-APN--- ἀργυροῦς
καὶ C--------- καί
χρυσᾶ A1--APN--- χρύσεος
καὶ C--------- καί
ἱματισμὸν N2--ASM--- ἱματισμός
ἔδωκεν VAI-AAI3S- δίδωμι
Ρεβεκκα N---DSF--- Ρεβεκκα
καὶ C--------- καί
δῶρα N2N-APN--- δῶρον
ἔδωκεν VAI-AAI3S- δίδωμι
τῷ RA--DSM--- ὁ
ἀδελφῷ N2--DSM--- ἀδελφός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τῇ RA--DSF--- ὁ
μητρὶ N3--DSF--- μήτηρ
αὐτῆς RD--GSF--- αὐτός

Gen 24:54
καὶ C--------- καί
ἔφαγον VBI-AAI3P- ἐσθίω
καὶ C--------- καί
ἔπιον VBI-AAI3P- πίνω
αὐτὸς RD--NSM--- αὐτός
καὶ C--------- καί
οἱ RA--NPM--- ὁ
ἄνδρες N3--NPM--- ἀνήρ
οἱ RA--NPM--- ὁ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός
ὄντες V9--PAPNPM εἰμί
καὶ C--------- καί
ἐκοιμήθησαν VCI-API3P- κοιμάω
καὶ C--------- καί
ἀναστὰς VH--AAPNSM ἵστημι ἀνα
πρωὶ D--------- πρωΐ
εἶπεν VBI-AAI3S- εἶπον
ἐκπέμψατέ VA--AAD2P- πέμπω ἐκ
με RP--AS---- ἐγώ
ἵνα C--------- ἵνα
ἀπέλθω VB--AAS1S- ἔρχομαι ἀπο
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
κύριόν N2--ASM--- κύριος
μου RP--GS---- ἐγώ

Gen 24:55
εἶπαν VAI-AAI3P- εἶπον
δὲ X--------- δέ
οἱ RA--NPM--- ὁ
ἀδελφοὶ N2--NPM--- ἀδελφός
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
μήτηρ N3--NSF--- μήτηρ
μεινάτω VA--AAD3S- μένω
ἡ RA--NSF--- ὁ
παρθένος N2--NSF--- παρθένος
μεθ' P--------- μετά
ἡμῶν RP--GP---- ἐγώ
ἡμέρας N1A-GSF--- ἡμέρα
ὡσεὶ D--------- ὡσεί
δέκα M--------- δέκα
καὶ C--------- καί
μετὰ P--------- μετά
ταῦτα RD--APN--- οὗτος
ἀπελεύσεται VF--FMI3S- ἔρχομαι ἀπο

Gen 24:56
ὁ RA--NSM--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
μὴ D--------- μή
κατέχετέ V1--PAI2P- ἔχω κατα
με RP--AS---- ἐγώ
καὶ C--------- καί
κύριος N2--NSM--- κύριος
εὐόδωσεν VA--AAI3S- εὐοδόω
τὴν RA--ASF--- ὁ
ὁδόν N2--ASF--- ὁδός
μου RP--GS---- ἐγώ
ἐκπέμψατέ VA--AAD2P- πέμπω ἐκ
με RP--AS---- ἐγώ
ἵνα C--------- ἵνα
ἀπέλθω VB--AAS1S- ἔρχομαι ἀπο
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
κύριόν N2--ASM--- κύριος
μου RP--GS---- ἐγώ

Gen 24:57
οἱ RA--NPM--- ὁ
δὲ X--------- δέ
εἶπαν VAI-AAI3P- εἶπον
καλέσωμεν VA--AAS1P- καλέω
τὴν RA--ASF--- ὁ
παῖδα N3D-ASM--- παῖς
καὶ C--------- καί
ἐρωτήσωμεν VA--AAS1P- ἐρωτάω
τὸ RA--ASN--- ὁ
στόμα N3M-ASN--- στόμα
αὐτῆς RD--GSF--- αὐτός

Gen 24:58
καὶ C--------- καί
ἐκάλεσαν VAI-AAI3P- καλέω
Ρεβεκκαν N---ASF--- Ρεβεκκα
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
αὐτῇ RD--DSF--- αὐτός
πορεύσῃ VF--FMI2S- πορεύομαι
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
ἀνθρώπου N2--GSM--- ἄνθρωπος
τούτου RD--GSM--- οὗτος
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
εἶπεν VBI-AAI3S- εἶπον
πορεύσομαι VF--FMI1S- πορεύομαι

Gen 24:59
καὶ C--------- καί
ἐξέπεμψαν VAI-AAI3P- πέμπω ἐκ
Ρεβεκκαν N---ASF--- Ρεβεκκα
τὴν RA--ASF--- ὁ
ἀδελφὴν N1--ASF--- ἀδελφή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
τὰ RA--APN--- ὁ
ὑπάρχοντα V1--PAPAPN ἄρχω ὑπο
αὐτῆς RD--GSF--- αὐτός
καὶ C--------- καί
τὸν RA--ASM--- ὁ
παῖδα N3D-ASM--- παῖς
τὸν RA--ASM--- ὁ
Αβρααμ N---GSM--- Αβρααμ
καὶ C--------- καί
τοὺς RA--APM--- ὁ
μετ' P--------- μετά
αὐτοῦ RD--GSM--- αὐτός

Gen 24:60
καὶ C--------- καί
εὐλόγησαν VA--AAI3P- εὐλογέω
Ρεβεκκαν N---ASF--- Ρεβεκκα
τὴν RA--ASF--- ὁ
ἀδελφὴν N1--ASF--- ἀδελφή
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
εἶπαν VAI-AAI3P- εἶπον
αὐτῇ RD--DSF--- αὐτός
ἀδελφὴ N1--VSF--- ἀδελφή
ἡμῶν RP--GP---- ἐγώ
εἶ V9--PAI2S- εἰμί
γίνου V1--PMD2S- γίγνομαι
εἰς P--------- εἰς
χιλιάδας N3D-APF--- χιλιάς
μυριάδων N3D-GPF--- μυριάς
καὶ C--------- καί
κληρονομησάτω VA--AAD3S- κληρονομέω
τὸ RA--NSN--- ὁ
σπέρμα N3M-NSN--- σπέρμα
σου RP--GS---- σύ
τὰς RA--APF--- ὁ
πόλεις N3I-NPF--- πόλις
τῶν RA--GPM--- ὁ
ὑπεναντίων A1A-GPM--- ὑπεναντίος

Gen 24:61
ἀναστᾶσα VH--AAPNSF ἵστημι ἀνα
δὲ X--------- δέ
Ρεβεκκα N---NSF--- Ρεβεκκα
καὶ C--------- καί
αἱ RA--NPF--- ὁ
ἅβραι A1A-NPF--- ἅβρα
αὐτῆς RD--GSF--- αὐτός
ἐπέβησαν VZI-AAI3P- βαίνω ἐπι
ἐπὶ P--------- ἐπί
τὰς RA--APF--- ὁ
καμήλους N2--APF--- κάμηλος
καὶ C--------- καί
ἐπορεύθησαν VCI-API3P- πορεύομαι
μετὰ P--------- μετά
τοῦ RA--GSM--- ὁ
ἀνθρώπου N2--GSM--- ἄνθρωπος
καὶ C--------- καί
ἀναλαβὼν VB--AAPNSM λαμβάνω ἀνα
ὁ RA--NSM--- ὁ
παῖς N3D-NSM--- παῖς
τὴν RA--ASF--- ὁ
Ρεβεκκαν N---ASF--- Ρεβεκκα
ἀπῆλθεν VBI-AAI3S- ἔρχομαι ἀπο

Gen 24:62
Ισαακ N---NSM--- Ισαακ
δὲ X--------- δέ
ἐπορεύετο V1I-IMI3S- πορεύομαι
διὰ P--------- διά
τῆς RA--GSF--- ὁ
ἐρήμου N2--GSF--- ἔρημος
κατὰ P--------- κατά
τὸ RA--ASN--- ὁ
φρέαρ N3T-ASN--- φρέαρ
τῆς RA--GSF--- ὁ
ὁράσεως N3I-GSF--- ὅρασις
αὐτὸς RD--NSM--- αὐτός
δὲ X--------- δέ
κατῴκει V2I-IAI3S- οἰκέω κατα
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ
τῇ RA--DSF--- ὁ
πρὸς P--------- πρός
λίβα N3--ASM--- λίψ

Gen 24:63
καὶ C--------- καί
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
Ισαακ N---NSM--- Ισαακ
ἀδολεσχῆσαι VA--AAN--- ἀδολεσχέω
εἰς P--------- εἰς
τὸ RA--ASN--- ὁ
πεδίον N2N-ASN--- πεδίον
τὸ RA--ASN--- ὁ
πρὸς P--------- πρός
δείλης N1--GSF--- δείλη
καὶ C--------- καί
ἀναβλέψας VA--AAPNSM βλέπω ἀνα
τοῖς RA--DPM--- ὁ
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
εἶδεν VBI-AAI3S- ὁράω
καμήλους N2--APF--- κάμηλος
ἐρχομένας V1--PMPAPF ἔρχομαι

Gen 24:64
καὶ C--------- καί
ἀναβλέψασα VA--AAPNSF βλέπω ἀνα
Ρεβεκκα N---NSF--- Ρεβεκκα
τοῖς RA--DPM--- ὁ
ὀφθαλμοῖς N2--DPM--- ὀφθαλμός
εἶδεν VBI-AAI3S- ὁράω
τὸν RA--ASM--- ὁ
Ισαακ N---ASM--- Ισαακ
καὶ C--------- καί
κατεπήδησεν VAI-AAI3S- πηδάω κατα
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
καμήλου N2--GSF--- κάμηλος

Gen 24:65
καὶ C--------- καί
εἶπεν VBI-AAI3S- εἶπον
τῷ RA--DSM--- ὁ
παιδί N3D-DSM--- παῖς
τίς RI--ASN--- τίς
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐκεῖνος RD--NSM--- ἐκεῖνος
ὁ RA--NSM--- ὁ
πορευόμενος V1--PMPNSM πορεύομαι
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
πεδίῳ N2N-DSN--- πεδίον
εἰς P--------- εἰς
συνάντησιν N3I-ASF--- συνάντησις
ἡμῖν RP--DP---- ἐγώ
εἶπεν VBI-AAI3S- εἶπον
δὲ X--------- δέ
ὁ RA--NSM--- ὁ
παῖς N3D-NSM--- παῖς
οὗτός RD--NSM--- οὗτος
ἐστιν V9--PAI3S- εἰμί
ὁ RA--NSM--- ὁ
κύριός N2--NSM--- κύριος
μου RP--GS---- ἐγώ
ἡ RA--NSF--- ὁ
δὲ X--------- δέ
λαβοῦσα VB--AAPNSF λαμβάνω
τὸ RA--ASN--- ὁ
θέριστρον N2N-ASN--- θέριστρον
περιεβάλετο VBI-AMI3S- βάλλω περι

Gen 24:66
καὶ C--------- καί
διηγήσατο VAI-AMI3S- ἡγέομαι δια
ὁ RA--NSM--- ὁ
παῖς N3D-NSM--- παῖς
τῷ RA--DSM--- ὁ
Ισαακ N---DSM--- Ισαακ
πάντα A3--APN--- πᾶς
τὰ RA--APN--- ὁ
ῤήματα N3M-APN--- ῤῆμα
ἃ RR--APN--- ὅς
ἐποίησεν VAI-AAI3S- ποιέω

Gen 24:67
εἰσῆλθεν VBI-AAI3S- ἔρχομαι εἰς
δὲ X--------- δέ
Ισαακ N---NSM--- Ισαακ
εἰς P--------- εἰς
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
τῆς RA--GSF--- ὁ
μητρὸς N3--GSF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἔλαβεν VBI-AAI3S- λαμβάνω
τὴν RA--ASF--- ὁ
Ρεβεκκαν N---ASF--- Ρεβεκκα
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
αὐτοῦ RD--GSM--- αὐτός
γυνή N3K-NSF--- γυνή
καὶ C--------- καί
ἠγάπησεν VAI-AAI3S- ἀγαπάω
αὐτήν RD--ASF--- αὐτός
καὶ C--------- καί
παρεκλήθη VCI-API3S- καλέω παρα
Ισαακ N---NSM--- Ισαακ
περὶ P--------- περί
Σαρρας N---GSF--- Σαρρα
τῆς RA--GSF--- ὁ
μητρὸς N3--GSF--- μήτηρ
αὐτοῦ RD--GSM--- αὐτός

Gen 25:1
προσθέμενος VE--AMPNSM τίθημι προς
δὲ X--------- δέ
