Jer 1:1
βασιλεὺς N3V-NSM--- βασιλεύς
καὶ C--------- καί
συνήσει VF--FAI3S- ἵημι συν
καὶ C--------- καί
ποιήσει VF--FAI3S- ποιέω
κρίμα N3M-ASN--- κρίμα
καὶ C--------- καί
δικαιοσύνην N1--ASF--- δικαιοσύνη
ἐπὶ P--------- ἐπί
τῆς RA--GSF--- ὁ
γῆς N1--GSF--- γῆ

Jer 23:6
ἐν P--------- ἐν
ταῖς RA--DPF--- ὁ
ἡμέραις N1A-DPF--- ἡμέρα
αὐτοῦ RD--GSM--- αὐτός
σωθήσεται VC--FPI3S- σώζω
Ιουδας N1T-NSM--- Ἰούδας
καὶ C--------- καί
Ισραηλ N---NSM--- Ἰσραήλ
κατασκηνώσει VF--FAI3S- σκηνόω κατα
πεποιθώς VX--XAPNSM πείθω
καὶ C--------- καί
τοῦτο RD--NSN--- οὗτος
τὸ RA--NSN--- ὁ
ὄνομα N3M-NSN--- ὄνομα
αὐτοῦ RD--GSM--- αὐτός
ὃ RR--NSN--- ὅς
καλέσει VF--FAI3S- καλέω
αὐτὸν RD--ASM--- αὐτός
κύριος N2--NSM--- κύριος
Ιωσεδεκ N---NSM--- Ιωσεδεκ

Jer 23:9
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
προφήταις N1M-DPM--- προφήτης
συνετρίβη VDI-API3S- τρίβω συν
ἡ RA--NSF--- ὁ
καρδία N1A-NSF--- καρδία
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
ἐμοὶ RP--DS---- ἐγώ
ἐσαλεύθη VCI-API3S- σαλεύω
πάντα A3--NPN--- πᾶς
τὰ RA--NPN--- ὁ
ὀστᾶ N2N-NPN--- ὀστέον
μου RP--GS---- ἐγώ
ἐγενήθην VCI-API1S- γίγνομαι
ὡς C--------- ὡς
ἀνὴρ N3--NSM--- ἀνήρ
συντετριμμένος VP--XMPNSM τρίβω συν
καὶ C--------- καί
ὡς C--------- ὡς
ἄνθρωπος N2--NSM--- ἄνθρωπος
συνεχόμενος V1--PMPNSM ἔχω συν
ἀπὸ P--------- ἀπό
οἴνου N2--GSM--- οἶνος
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
εὐπρεπείας N1A-GSF--- εὐπρεπεία
δόξης N1S-GSF--- δόξα
αὐτοῦ RD--GSM--- αὐτός

Jer 23:10
ὅτι C--------- ὅτι
ἀπὸ P--------- ἀπό
προσώπου N2N-GSN--- πρόσωπον
τούτων RD--GPM--- οὗτος
ἐπένθησεν VAI-AAI3S- πενθέω
ἡ RA--NSF--- ὁ
γῆ N1--NSF--- γῆ
ἐξηράνθησαν VCI-API3P- ξηραίνω
αἱ RA--NPF--- ὁ
νομαὶ N1--NPF--- νομή
τῆς RA--GSF--- ὁ
ἐρήμου N2--GSF--- ἔρημος
καὶ C--------- καί
ἐγένετο VBI-AMI3S- γίγνομαι
ὁ RA--NSM--- ὁ
δρόμος N2--NSM--- δρόμος
αὐτῶν RD--GPM--- αὐτός
πονηρὸς A1A-NSM--- πονηρός
καὶ C--------- καί
ἡ RA--NSF--- ὁ
ἰσχὺς N3--NSF--- ἰσχύς
αὐτῶν RD--GPM--- αὐτός
οὐχ D--------- οὐ
οὕτως D--------- οὕτως

Jer 23:11
ὅτι C--------- ὅτι
ἱερεὺς N3V-NSM--- ἱερεύς
καὶ C--------- καί
προφήτης N1M-NSM--- προφήτης
ἐμολύνθησαν VCI-API3P- μολύνω
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSM--- ὁ
οἴκῳ N2--DSM--- οἶκος
μου RP--GS---- ἐγώ
εἶδον VBI-AAI1S- ὁράω
πονηρίας N1A-APF--- πονηρία
αὐτῶν RD--GPM--- αὐτός

Jer 23:12
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
γενέσθω VB--AMD3S- γίγνομαι
ἡ RA--NSF--- ὁ
ὁδὸς N2--NSF--- ὁδός
αὐτῶν RD--GPM--- αὐτός
αὐτοῖς RD--DPM--- αὐτός
εἰς P--------- εἰς
ὀλίσθημα N3M-ASN--- ὀλίσθημα
ἐν P--------- ἐν
γνόφῳ N2--DSM--- γνόφος
καὶ C--------- καί
ὑποσκελισθήσονται VS--FPI3P- σκελίζω ὑπο
καὶ C--------- καί
πεσοῦνται VF2-FMI3P- πίπτω
ἐν P--------- ἐν
αὐτῇ RD--DSF--- αὐτός
διότι C--------- διότι
ἐπάξω VF--FAI1S- ἄγω ἐπι
ἐπ' P--------- ἐπί
αὐτοὺς RD--APM--- αὐτός
κακὰ A1--APN--- κακός
ἐν P--------- ἐν
ἐνιαυτῷ N2--DSM--- ἐνιαυτός
ἐπισκέψεως N3I-GSF--- ἐπίσκεψις
αὐτῶν RD--GPM--- αὐτός
φησὶν V6--PAI3S- φημί
κύριος N2--NSM--- κύριος

Jer 23:13
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
προφήταις N1M-DPM--- προφήτης
Σαμαρείας N1A-GSF--- Σαμαρεία
εἶδον VBI-AAI1S- ὁράω
ἀνομήματα N3M-APN--- ἀνόμημα
ἐπροφήτευσαν VAI-AAI3P- προφητεύω
διὰ P--------- διά
τῆς RA--GSF--- ὁ
Βααλ N---GSF--- Βααλ
καὶ C--------- καί
ἐπλάνησαν VAI-AAI3P- πλανάω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
Ισραηλ N---ASM--- Ἰσραήλ

Jer 23:14
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
προφήταις N1M-DPM--- προφήτης
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἑώρακα VX--XAI1S- ὁράω
φρικτά A1--APN--- φρικτός
μοιχωμένους V1--PMPAPM μοιχάομαι
καὶ C--------- καί
πορευομένους V1--PMPAPM πορεύομαι
ἐν P--------- ἐν
ψεύδεσι A3H-DPM--- ψευδής
καὶ C--------- καί
ἀντιλαμβανομένους V1--PMPAPM λαμβάνω ἀντι
χειρῶν N3--GPF--- χείρ
πονηρῶν A1A-GPM--- πονηρός
τοῦ RA--GSN--- ὁ
μὴ D--------- μή
ἀποστραφῆναι VD--APN--- στρέφω ἀπο
ἕκαστον A1--ASM--- ἕκαστος
ἀπὸ P--------- ἀπό
τῆς RA--GSF--- ὁ
ὁδοῦ N2--GSF--- ὁδός
αὐτοῦ RD--GSM--- αὐτός
τῆς RA--GSF--- ὁ
πονηρᾶς A1A-GSF--- πονηρός
ἐγενήθησάν VCI-API3P- γίγνομαι
μοι RP--DS---- ἐγώ
πάντες A3--NPM--- πᾶς
ὡς C--------- ὡς
Σοδομα N---NSF--- Σοδομα
καὶ C--------- καί
οἱ RA--NPM--- ὁ
κατοικοῦντες V2--PAPNPM οἰκέω κατα
αὐτὴν RD--ASF--- αὐτός
ὥσπερ D--------- ὥσπερ
Γομορρα N---NSF--- Γομορρα

Jer 23:15
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
ψωμιῶ VF2-FAI1S- ψωμίζω
αὐτοὺς RD--APM--- αὐτός
ὀδύνην N1--ASF--- ὀδύνη
καὶ C--------- καί
ποτιῶ VF--FAI1S- ποτίζω
αὐτοὺς RD--APM--- αὐτός
ὕδωρ N3--ASN--- ὕδωρ
πικρόν A1A-ASN--- πικρός
ὅτι C--------- ὅτι
ἀπὸ P--------- ἀπό
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
Ιερουσαλημ N---GSF--- Ἰερουσαλήμ
ἐξῆλθεν VBI-AAI3S- ἔρχομαι ἐκ
μολυσμὸς N2--NSM--- μολυσμός
πάσῃ A1S-DSF--- πᾶς
τῇ RA--DSF--- ὁ
γῇ N1--DSF--- γῆ

Jer 23:16
οὕτως D--------- οὕτως
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
παντοκράτωρ N3R-NSM--- παντοκράτωρ
μὴ D--------- μή
ἀκούετε V1--PAD2P- ἀκούω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
ὅτι C--------- ὅτι
ματαιοῦσιν V4--PAI3P- ματαιόω
ἑαυτοῖς RD--DPM--- ἑαυτοῦ
ὅρασιν N3I-ASF--- ὅρασις
ἀπὸ P--------- ἀπό
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός
λαλοῦσιν V2--PAI3P- λαλέω
καὶ C--------- καί
οὐκ D--------- οὐ
ἀπὸ P--------- ἀπό
στόματος N3M-GSN--- στόμα
κυρίου N2--GSM--- κύριος

Jer 23:17
λέγουσιν V1--PAI3P- λέγω
τοῖς RA--DPM--- ὁ
ἀπωθουμένοις V2--PMPDPM ὠθέω ἀπο
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
κυρίου N2--GSM--- κύριος
εἰρήνη N1--NSF--- εἰρήνη
ἔσται VF--FMI3S- εἰμί
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
πᾶσιν A3--DPM--- πᾶς
τοῖς RA--DPM--- ὁ
πορευομένοις V1--PMPDPM πορεύομαι
τοῖς RA--DPN--- ὁ
θελήμασιν N3M-DPN--- θέλημα
αὐτῶν RD--GPM--- αὐτός
παντὶ A3--DSM--- πᾶς
τῷ RA--DSM--- ὁ
πορευομένῳ V1--PMPDSM πορεύομαι
πλάνῃ N1--DSF--- πλάνη
καρδίας N1A-GSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
εἶπαν VAI-AAI3P- εἶπον
οὐχ D--------- οὐ
ἥξει VF--FAI3S- ἥκω
ἐπὶ P--------- ἐπί
σὲ RP--AS---- σύ
κακά A1--NPN--- κακός

Jer 23:18
ὅτι C--------- ὅτι
τίς RI--NSM--- τίς
ἔστη VHI-AAI3S- ἵστημι
ἐν P--------- ἐν
ὑποστήματι N3M-DSN--- ὑπόστημα
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
εἶδεν VBI-AAI3S- ὁράω
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
αὐτοῦ RD--GSM--- αὐτός
τίς RI--NSM--- τίς
ἐνωτίσατο VA--AMI3S- ἐνωτίζομαι
καὶ C--------- καί
ἤκουσεν VAI-AAI3S- ἀκούω

Jer 23:19
ἰδοὺ I--------- ἰδού
σεισμὸς N2--NSM--- σεισμός
παρὰ P--------- παρά
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ὀργὴ N1--NSF--- ὀργή
ἐκπορεύεται V1--PMI3S- πορεύομαι ἐκ
εἰς P--------- εἰς
συσσεισμόν N2--ASM--- συσσεισμός
συστρεφομένη V1--PMPNSF στρέφω συν
ἐπὶ P--------- ἐπί
τοὺς RA--APM--- ὁ
ἀσεβεῖς A3H-APM--- ἀσεβής
ἥξει VF--FAI3S- ἥκω

Jer 23:20
καὶ C--------- καί
οὐκέτι D--------- οὐκέτι
ἀποστρέψει VF--FAI3S- στρέφω ἀπο
ὁ RA--NSM--- ὁ
θυμὸς N2--NSM--- θυμός
κυρίου N2--GSM--- κύριος
ἕως C--------- ἕως
ἂν X--------- ἄν
ποιήσῃ VA--AAS3S- ποιέω
αὐτὸ RD--ASN--- αὐτός
καὶ C--------- καί
ἕως C--------- ἕως
ἂν X--------- ἄν
ἀναστήσῃ VA--AAS3S- ἵστημι ἀνα
αὐτὸ RD--ASN--- αὐτός
ἀπὸ P--------- ἀπό
ἐγχειρήματος N3M-GSN--- ἐγχείρημα
καρδίας N1A-GSF--- καρδία
αὐτοῦ RD--GSM--- αὐτός
ἐπ' P--------- ἐπί
ἐσχάτου A1--GSN--- ἔσχατος
τῶν RA--GPF--- ὁ
ἡμερῶν N1A-GPF--- ἡμέρα
νοήσουσιν VF--FAI3P- νοέω
αὐτά RD--APN--- αὐτός

Jer 23:21
οὐκ D--------- οὐ
ἀπέστελλον V1I-IAI1S- στέλλω ἀπο
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
ἔτρεχον V1I-IAI3P- τρέχω
οὐκ D--------- οὐ
ἐλάλησα VAI-AAI1S- λαλέω
πρὸς P--------- πρός
αὐτούς RD--APM--- αὐτός
καὶ C--------- καί
αὐτοὶ RD--NPM--- αὐτός
ἐπροφήτευον V1I-IAI3P- προφητεύω

Jer 23:22
καὶ C--------- καί
εἰ C--------- εἰ
ἔστησαν VAI-AAI3P- ἵστημι
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
ὑποστάσει N3I-DSF--- ὑπόστασις
μου RP--GS---- ἐγώ
καὶ C--------- καί
εἰσήκουσαν VAI-AAI3P- ἀκούω εἰς
τῶν RA--GPM--- ὁ
λόγων N2--GPM--- λόγος
μου RP--GS---- ἐγώ
καὶ C--------- καί
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
ἂν X--------- ἄν
ἀπέστρεφον V1I-IAI3P- στρέφω ἀπο
αὐτοὺς RD--APM--- αὐτός
ἀπὸ P--------- ἀπό
τῶν RA--GPN--- ὁ
πονηρῶν A1A-GPN--- πονηρός
ἐπιτηδευμάτων N3M-GPN--- ἐπιτήδευμα
αὐτῶν RD--GPM--- αὐτός

Jer 23:23
θεὸς N2--NSM--- θεός
ἐγγίζων V1--PAPNSM ἐγγίζω
ἐγώ RP--NS---- ἐγώ
εἰμι V9--PAI1S- εἰμί
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
οὐχὶ D--------- οὐ
θεὸς N2--NSM--- θεός
πόρρωθεν D--------- πόρρωθεν

Jer 23:24
εἰ C--------- εἰ
κρυβήσεται VD--FPI3S- κρύπτω
ἄνθρωπος N2--NSM--- ἄνθρωπος
ἐν P--------- ἐν
κρυφαίοις A1A-DPM--- κρυφαῖος
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
οὐκ D--------- οὐ
ὄψομαι VF--FMI1S- ὁράω
αὐτόν RD--ASM--- αὐτός
μὴ D--------- μή
οὐχὶ D--------- οὐ
τὸν RA--ASM--- ὁ
οὐρανὸν N2--ASM--- οὐρανός
καὶ C--------- καί
τὴν RA--ASF--- ὁ
γῆν N1--ASF--- γῆ
ἐγὼ RP--NS---- ἐγώ
πληρῶ VF--FAI1S- πληρόω
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 23:25
ἤκουσα VAI-AAI1S- ἀκούω
ἃ RR--APN--- ὅς
λαλοῦσιν V2--PAI3P- λαλέω
οἱ RA--NPM--- ὁ
προφῆται N1M-NPM--- προφήτης
ἃ RR--APN--- ὅς
προφητεύουσιν V1--PAI3P- προφητεύω
ἐπὶ P--------- ἐπί
τῷ RA--DSN--- ὁ
ὀνόματί N3M-DSN--- ὄνομα
μου RP--GS---- ἐγώ
ψευδῆ A3H-APN--- ψευδής
λέγοντες V1--PAPNPM λέγω
ἠνυπνιασάμην VAI-AMI1S- ἐνυπνιάζω
ἐνύπνιον N2N-ASN--- ἐνύπνιον

Jer 23:26
ἕως C--------- ἕως
πότε D--------- πότε
ἔσται VF--FMI3S- εἰμί
ἐν P--------- ἐν
καρδίᾳ N1A-DSF--- καρδία
τῶν RA--GPM--- ὁ
προφητῶν N1M-GPM--- προφήτης
τῶν RA--GPM--- ὁ
προφητευόντων V1--PAPGPM προφητεύω
ψευδῆ A3H-APN--- ψευδής
καὶ C--------- καί
ἐν P--------- ἐν
τῷ RA--DSN--- ὁ
προφητεύειν V1--PAN--- προφητεύω
αὐτοὺς RD--APM--- αὐτός
τὰ RA--APN--- ὁ
θελήματα N3M-APN--- θέλημα
καρδίας N1A-GSF--- καρδία
αὐτῶν RD--GPM--- αὐτός

Jer 23:27
τῶν RA--GPM--- ὁ
λογιζομένων V1--PMPGPM λογίζομαι
τοῦ RA--GSN--- ὁ
ἐπιλαθέσθαι VB--AMN--- λανθάνω ἐπι
τοῦ RA--GSM--- ὁ
νόμου N2--GSM--- νόμος
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ἐνυπνίοις N2N-DPN--- ἐνύπνιον
αὐτῶν RD--GPM--- αὐτός
ἃ RR--APN--- ὅς
διηγοῦντο V2--IMI3P- ἡγέομαι δια
ἕκαστος A1--NSM--- ἕκαστος
τῷ RA--DSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
καθάπερ D--------- καθάπερ
ἐπελάθοντο VBI-AMI3P- λανθάνω ἐπι
οἱ RA--NPM--- ὁ
πατέρες N3--NPM--- πατήρ
αὐτῶν RD--GPM--- αὐτός
τοῦ RA--GSN--- ὁ
ὀνόματός N3M-GSN--- ὄνομα
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τῇ RA--DSF--- ὁ
Βααλ N---DSF--- Βααλ

Jer 23:28
ὁ RA--NSM--- ὁ
προφήτης N1M-NSM--- προφήτης
ἐν P--------- ἐν
ᾧ RR--DSM--- ὅς
τὸ RA--NSN--- ὁ
ἐνύπνιόν N2N-NSN--- ἐνύπνιον
ἐστιν V9--PAI3S- εἰμί
διηγησάσθω VA--AMD3S- ἡγέομαι δια
τὸ RA--ASN--- ὁ
ἐνύπνιον N2N-ASN--- ἐνύπνιον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
ᾧ RR--DSM--- ὅς
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
μου RP--GS---- ἐγώ
πρὸς P--------- πρός
αὐτόν RD--ASM--- αὐτός
διηγησάσθω VA--AMD3S- ἡγέομαι δια
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
μου RP--GS---- ἐγώ
ἐπ' P--------- ἐπί
ἀληθείας N1A-GSF--- ἀλήθεια
τί RI--ASN--- τίς
τὸ RA--ASN--- ὁ
ἄχυρον N2N-ASN--- ἄχυρον
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
σῖτον N2--ASM--- σῖτος
οὕτως D--------- οὕτως
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
μου RP--GS---- ἐγώ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 23:29
οὐχὶ D--------- οὐ
οἱ RA--NPM--- ὁ
λόγοι N2--NPM--- λόγος
μου RP--GS---- ἐγώ
ὥσπερ D--------- ὥσπερ
πῦρ N3--NSN--- πῦρ
φλέγον V1--PAPNSN φλέγω
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
καὶ C--------- καί
ὡς C--------- ὡς
πέλυξ N3K-NSM--- πέλυξ
κόπτων V1--PAPNSM κόπτω
πέτραν N1A-ASF--- πέτρα

Jer 23:30
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
τοὺς RA--APM--- ὁ
κλέπτοντας V1--PAPAPM κλέπτω
τοὺς RA--APM--- ὁ
λόγους N2--APM--- λόγος
μου RP--GS---- ἐγώ
ἕκαστος A1--NSM--- ἕκαστος
παρὰ P--------- παρά
τοῦ RA--GSM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός

Jer 23:31
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
τοὺς RA--APM--- ὁ
ἐκβάλλοντας V1--PAPAPM βάλλω ἐκ
προφητείας N1A-APF--- προφητεία
γλώσσης N1S-GSF--- γλῶσσα
καὶ C--------- καί
νυστάζοντας V1--PAPAPM νυστάζω
νυσταγμὸν N2--ASM--- νυσταγμός
ἑαυτῶν RD--GPM--- ἑαυτοῦ

Jer 23:32
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
πρὸς P--------- πρός
τοὺς RA--APM--- ὁ
προφήτας N1M-APM--- προφήτης
τοὺς RA--APM--- ὁ
προφητεύοντας V1--PAPAPM προφητεύω
ἐνύπνια N2N-APN--- ἐνύπνιον
ψευδῆ A3H-APN--- ψευδής
καὶ C--------- καί
διηγοῦντο V2--IMI3P- ἡγέομαι δια
αὐτὰ RD--APN--- αὐτός
καὶ C--------- καί
ἐπλάνησαν VAI-AAI3P- πλανάω
τὸν RA--ASM--- ὁ
λαόν N2--ASM--- λαός
μου RP--GS---- ἐγώ
ἐν P--------- ἐν
τοῖς RA--DPN--- ὁ
ψεύδεσιν A3H-DPN--- ψευδής
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐν P--------- ἐν
τοῖς RA--DPM--- ὁ
πλάνοις N2--DPM--- πλάνος
αὐτῶν RD--GPM--- αὐτός
καὶ C--------- καί
ἐγὼ RP--NS---- ἐγώ
οὐκ D--------- οὐ
ἀπέστειλα VAI-AAI1S- στέλλω ἀπο
αὐτοὺς RD--APM--- αὐτός
καὶ C--------- καί
οὐκ D--------- οὐ
ἐνετειλάμην VAI-AMI1S- τέλλομαι ἐν
αὐτοῖς RD--DPM--- αὐτός
καὶ C--------- καί
ὠφέλειαν N1A-ASF--- ὠφέλεια
οὐκ D--------- οὐ
ὠφελήσουσιν VF--FAI3P- ὠφελέω
τὸν RA--ASM--- ὁ
λαὸν N2--ASM--- λαός
τοῦτον RD--ASM--- οὗτος

Jer 23:33
καὶ C--------- καί
ἐὰν C--------- ἐάν
ἐρωτήσωσί VA--AAS3P- ἐρωτάω
σε RP--AS---- σύ
ὁ RA--NSM--- ὁ
λαὸς N2--NSM--- λαός
οὗτος RD--NSM--- οὗτος
ἢ C--------- ἤ
ἱερεὺς N3V-NSM--- ἱερεύς
ἢ C--------- ἤ
προφήτης N1M-NSM--- προφήτης
λέγων V1--PAPNSM λέγω
τί RD--NSN--- τίς
τὸ RA--NSN--- ὁ
λῆμμα N3M-NSN--- λῆμμα
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἐρεῖς VF2-FAI2S- εἶπον
αὐτοῖς RD--DPM--- αὐτός
ὑμεῖς RP--NP---- σύ
ἐστε V9--PAI2P- εἰμί
τὸ RA--NSN--- ὁ
λῆμμα N3M-NSN--- λῆμμα
καὶ C--------- καί
ῤάξω VF--FAI1S- ῤάσσω
ὑμᾶς RP--AP---- σύ
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος

Jer 23:34
καὶ C--------- καί
ὁ RA--NSM--- ὁ
προφήτης N1M-NSM--- προφήτης
καὶ C--------- καί
ὁ RA--NSM--- ὁ
ἱερεὺς N3V-NSM--- ἱερεύς
καὶ C--------- καί
ὁ RA--NSM--- ὁ
λαός N2--NSM--- λαός
οἳ RR--NPM--- ὅς
ἂν X--------- ἄν
εἴπωσιν VB--AAS3P- εἶπον
λῆμμα N3M-NSN--- λῆμμα
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἐκδικήσω VF--FAI1S- δικέω ἐκ
τὸν RA--ASM--- ὁ
ἄνθρωπον N2--ASM--- ἄνθρωπος
ἐκεῖνον RD--ASM--- ἐκεῖνος
καὶ C--------- καί
τὸν RA--ASM--- ὁ
οἶκον N2--ASM--- οἶκος
αὐτοῦ RD--GSM--- αὐτός

Jer 23:35
ὅτι C--------- ὅτι
οὕτως D--------- οὕτως
ἐρεῖτε VF2-FAI2P- εἶπον
ἕκαστος A1--NSM--- ἕκαστος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
πλησίον D--------- πλησίον
αὐτοῦ RD--GSM--- αὐτός
καὶ C--------- καί
ἕκαστος A1--NSM--- ἕκαστος
πρὸς P--------- πρός
τὸν RA--ASM--- ὁ
ἀδελφὸν N2--ASM--- ἀδελφός
αὐτοῦ RD--GSM--- αὐτός
τί RI--ASN--- τίς
ἀπεκρίθη VCI-API3S- κρίνω ἀπο
κύριος N2--NSM--- κύριος
καὶ C--------- καί
τί RI--ASN--- τίς
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος

Jer 23:36
καὶ C--------- καί
λῆμμα N3M-NSN--- λῆμμα
κυρίου N2--GSM--- κύριος
μὴ D--------- μή
ὀνομάζετε V1--PAD2P- ὀνομάζω
ἔτι D--------- ἔτι
ὅτι C--------- ὅτι
τὸ RA--NSN--- ὁ
λῆμμα N3M-NSN--- λῆμμα
τῷ RA--DSM--- ὁ
ἀνθρώπῳ N2--DSM--- ἄνθρωπος
ἔσται VF--FMI3S- εἰμί
ὁ RA--NSM--- ὁ
λόγος N2--NSM--- λόγος
αὐτοῦ RD--GSM--- αὐτός

Jer 23:37
καὶ C--------- καί
διὰ P--------- διά
τί RI--ASN--- τίς
ἐλάλησεν VAI-AAI3S- λαλέω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεὸς N2--NSM--- θεός
ἡμῶν RP--GP---- ἐγώ

Jer 23:38
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
τάδε RD--APN--- ὅδε
λέγει V1--PAI3S- λέγω
κύριος N2--NSM--- κύριος
ὁ RA--NSM--- ὁ
θεός N2--NSM--- θεός
ἀνθ' P--------- ἀντί
ὧν RR--GPM--- ὅς
εἴπατε VAI-AAI2P- εἶπον
τὸν RA--ASM--- ὁ
λόγον N2--ASM--- λόγος
τοῦτον RD--ASM--- οὗτος
λῆμμα N3M-NSN--- λῆμμα
κυρίου N2--GSM--- κύριος
καὶ C--------- καί
ἀπέστειλα VAI-AAI1S- στέλλω ἀπο
πρὸς P--------- πρός
ὑμᾶς RP--AP---- σύ
λέγων V1--PAPNSM λέγω
οὐκ D--------- οὐ
ἐρεῖτε VF2-FAI2P- εἶπον
λῆμμα N3M-NSN--- λῆμμα
κυρίου N2--GSM--- κύριος

Jer 23:39
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἐγὼ RP--NS---- ἐγώ
λαμβάνω V1--PAI1S- λαμβάνω
καὶ C--------- καί
ῤάσσω V1--PAI1S- ῤάσσω
ὑμᾶς RP--AP---- σύ
καὶ C--------- καί
τὴν RA--ASF--- ὁ
πόλιν N3I-ASF--- πόλις
ἣν RR--ASF--- ὅς
ἔδωκα VAI-AAI1S- δίδωμι
ὑμῖν RP--DP---- σύ
καὶ C--------- καί
τοῖς RA--DPM--- ὁ
πατράσιν N3--DPM--- πατήρ
ὑμῶν RP--GP---- σύ

Jer 23:40
καὶ C--------- καί
δώσω VF--FAI1S- δίδωμι
ἐφ' P--------- ἐπί
ὑμᾶς RP--AP---- σύ
ὀνειδισμὸν N2--ASM--- ὀνειδισμός
αἰώνιον A1A-ASM--- αἰώνιος
καὶ C--------- καί
ἀτιμίαν N1A-ASF--- ἀτιμία
αἰώνιον A1A-ASF--- αἰώνιος
ἥτις RX--NSF--- ὅστις
οὐκ D--------- οὐ
ἐπιλησθήσεται VC--FPI3S- λανθάνω ἐπι

Jer 23:7
διὰ P--------- διά
τοῦτο RD--ASN--- οὗτος
ἰδοὺ I--------- ἰδού
ἡμέραι N1A-NPF--- ἡμέρα
ἔρχονται V1--PMI3P- ἔρχομαι
